community_id	genome_id	mean_log_abund	stdev_log_abund
gut1_ecoli_conspecific	Escherichia_coli_K_12_MG1655	1	1
gut1_ecoli_conspecific	Escherichia_coli_IAI39	1	1
gut1_ecoli_conspecific	Dehalococcoides_mccartyi_CG3	1	1
gut1_ecoli_conspecific	Lactobacillus_plantarum_Zhang_LL	1	1
gut1_ecoli_conspecific	Streptococcus_agalactiae_CU_GBS_98	1	1
gut1_ecoli_conspecific	Listeria_monocytogenes_ATCC_51779	1	1
gut1_ecoli_conspecific	Corynebacterium_glutamicum_HA	1	1
gut1_ecoli_conspecific	Mycobacterium_avium_K_10	1	1
gut1_ecoli_conspecific	Mycobacterium_tuberculosis_CCDC5079	1	1
gut1_ecoli_conspecific	Carnobacterium_CP1_CP1	1	1
gut1_ecoli_conspecific	Pasteurella_multocida_NCTC10382	1	1
gut1_ecoli_conspecific	Lactobacillus_gasseri_DSM_14869	1	1
gut1_ecoli_conspecific	Bacillus_subtilis_SRCM100757	1	1
gut1_ecoli_conspecific	Cutibacterium_avidum_DPC_6544	1	1
gut1_ecoli_conspecific	Sphingorhabdus_YGSMI21_YGSMI21	1	1
gut1_ecoli_conspecific	Haemophilus_influenzae_M21460	1	1
gut1_ecoli_conspecific	Streptococcus_dysgalactiae_AC_2713	1	1
gut1_ecoli_conspecific	Neisseriaceae_bacterium_DSM_100970	1	1
gut1_ecoli_conspecific	Dickeya_solani_D_s0432_1	1	1
gut1_ecoli_conspecific	Erythrobacter_seohaensis_SW_135	1	1
gut1_ecoli_conspecific	Pseudoalteromonas_atlantica_T6c	1	1
gut1_ecoli_conspecific	Mannheimia_haemolytica_USDA_ARS_USMARC_184	1	1
gut1_ecoli_conspecific	Staphylococcus_aureus_JKD6159	1	1
gut1_ecoli_conspecific	Klebsiella_pneumoniae_F81	1	1
gut1_ecoli_conspecific	Pediococcus_pentosaceus_wikim20	1	1
gut1_ecoli_conspecific	Eggerthella_YY7918_YY7918	1	1
gut1_ecoli_conspecific	Idiomarina_X4_X4	1	1
gut1_ecoli_conspecific	Helicobacter_pylori_Hpbs1	1	1
gut1_ecoli_conspecific	Rhizobium_leguminosarum_UPM791	1	1
gut1_ecoli_conspecific	Acinetobacter_baumannii_KBN10P02143	1	1
gut1_ecoli_conspecific	Salmonella_enterica_343076_294172	1	1
